"PRODUCT_ID","PRODUCT_TITLE","PRODUCT_DATE","PRODUCT_IMG1","PRODUCT_IMG2","PRODUCT_IMG3","PRODUCT_PRICE","PRODUCT_DESC","CATEGORY_ID","PRODUCT_QUANTITY","TRADER_ID"
"3","Pork","05/17/2019","pork_2.png","pork_1.png","pork_3.jpg","700","Fresh Pork Meat.","1","100","1"
"4","Duck","05/17/2019","duck_1.jpg","duck_2.png","duck_3.png","800","Fresh Duck Meat.","1","100","1"
"5","Buffalo","05/17/2019","buffalo_3.jpg","buffalo_2.jpg","buffalo_1.jpg","200","Fresh Buffalo Meat.","1","99","1"
"12","Red Snapper","05/17/2019","snapper_2.jpg","sanpper_1.jpg","snapper_3.png","300","Fresh red snapper.","5","99","4"
"13","Shellfish","05/17/2019","shellfish_1.jpg","shellfish_2.jpg","shellfish_3.jpg","400","Fresh shellfish.","5","97","4"
"6","Tomato","05/17/2019","tomato_1.jpg","tomato_2.jpg","tomato_3.jpg","50","Fresh tomatoes.","3","98","3"
"7","Potato","05/17/2019","cucumber_1.jpg","cucumber_2.jpg","cucumber_3.jpg","70","Fresh cucmber.","3","100","3"
"8","Potato","05/17/2019","potato_1.jpeg","potato_2.jpg","potato_3.jpg","100","Fresh potatoes.","3","100","3"
"9","Onion","05/17/2019","onion_1.png","onion_2.jpg","onion_3.jpg","60","Fresh onion.","3","100","3"
"10","Pumpkin","05/17/2019","pumpkin_1.png","pumpkin_2.jpg","pumpkin_3.jpg","200","Fresh pumpkin.","3","99","3"
"16","Chocolate Cake","05/17/2019","cake_1.jpg","cake_2.jpg","cake_3.jpg","800","Freshly baked cake.","2","100","5"
"17","Muffin","05/17/2019","muffin_1.jpg","muffin_2.jpg","muffin_3.jpg","150","Freshly baked muffin.","2","100","5"
"18","Cream Roll","05/17/2019","roll_1.jpg","roll_2.jpg","roll_3.jpg","80","Freshly baked cream rolls.","2","100","5"
"19","Cookies","05/17/2019","cookies_2.png","cookies_1.png","cookies_3.png","60","Freshly Baked Cookies.","2","100","5"
"20","Croissant","05/17/2019","croissant_1.jpg","croissant_2.jpg","croissant_3.jpg","50","Freshly baked croissant.","2","100","5"
"21","Sandwich","05/17/2019","sandwich_2.jpg","sandwich_1.jpg","sandwich_3.jpg","120","Fresh Sandwich.","4","100","6"
"22","Cheese","05/17/2019","cheese_2.jpg","cheese_1.jpg","cheese_3.jpg","150","Fresh Cheese.","4","100","6"
"23","Sausage","05/17/2019","sausage_3.jpg","sausage_2.jpg","sausage_1.jpg","250","Fresh Sausage.","4","100","6"
"24","Pizza Slice","05/17/2019","pizza_2.jpg","pizza_3.jpg","pizza_1.jpg","175","Fresh Pizza Slice.","4","99","6"
"25","Salad","05/17/2019","salad_2.png","salad_3.png","salad_1.png","140","Fresh Salad.","4","99","6"
"15","Salmon","05/17/2019","salmon_1.jpg","salmon_2.jpg","salmon_3.jpg","600","Fresh Salmon.","5","100","4"
"1","Chicken","05/17/2019","chicken_3.jpg","chicken_2.jpg","chicken_1.jpg","500","Fresh Chicken Product.","1","100","1"
"2","Mutton","05/17/2019","mutton_1.jpg","mutton_2.jpg","mutton_3.jpg","1000","Fresh Mutton Meat.","1","100","1"
"11","Tuna","05/17/2019","tuna_1.jpg","tuna_2.jpg","tuna_3.jpg","250","Fresh Tuna","5","100","4"
"14","Crayfish","05/17/2019","crayfish_3.png","crayfish_2.jpg","crayfish_1.jpg","300","Fresh Crayfish","5","100","4"
